size	dial	NLU_Biased_no_rephrase	NLU_Biased_with_rephrase	NLU_Oversampled	NLU_Unbiased	NLU_Undersampled
10	10	0.40057501	0.4005984045	0.3736809324	0.3675556206	0.3440017973
20	20	0.4549220984	0.4452992875	0.3899728444	0.3901228904	0.3753814497
30	30	0.5062163068	0.4901366835	0.4241316939	0.4207344249	0.4060705945
40	40	0.5359470852	0.5271044072	0.4638606318	0.4607305447	0.4000531398
50	50	0.56210032	0.5607741591	0.4929733643	0.4880432434	0.3975517513
60	60	0.5899601848	0.5845375985	0.5147741317	0.5196270769	0.4472558081
70	70	0.6046063029	0.59914394	0.5252270486	0.5271907634	0.4386145746
80	80	0.6234477175	0.6118413541	0.5283832789	0.5243377213	0.4552890666
