size	dial	NLU_Biased_no_rephrase	NLU_Biased_with_rephrase	NLU_Oversampled	NLU_Unbiased	NLU_Undersampled
10	10	0.6459986718	0.6385062046	0.6609998555	0.6632096454	0.5260944564
20	20	0.6516297425	0.6396569098	0.7006346546	0.7012158302	0.5261227118
30	30	0.67333599	0.6720549347	0.7064782226	0.7038219708	0.5907947064
40	40	0.6802982313	0.6740368445	0.719312426	0.7195171416	0.5248132781
50	50	0.6907785765	0.6915039018	0.7055599747	0.7155306921	0.5094747001
60	60	0.7005513581	0.700409074	0.7124125082	0.7274897191	0.5693560262
70	70	0.6984266325	0.6997842897	0.7165989799	0.7314764537	0.5458059131
80	80	0.6387291289	0.6952853077	0.7148826928	0.7242810482	0.5500986228
